Name,Price,Link,Antutu,Custo Benefício
BQ Aquaris X2 Pro,1217,https://www.kimovil.com/en/where-to-buy-bq-aquaris-x2-pro,140000,00115
Lenovo Z5s,1435,https://www.kimovil.com/en/where-to-buy-lenovo-z5s-global-6gb-64gb,166232,00115
AGM X3,2344,https://www.kimovil.com/en/where-to-buy-agm-x3-8gb-64gb,270000,00115
Xiaomi Mi Mix 3,2499,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-3-8gb-256gb-cn,285652,00114
Lenovo Z5 Pro,1456,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-128gb,166380,00114
Xiaomi Mi6,1798,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-6-6gb-128gb,205176,00114
Xiaomi Mi 9,3272,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-battle-angel,372006,00113
Asus ZenFone 3,546,https://www.kimovil.com/en/where-to-buy-asus-zenfone-3-ze552klz-tw-4gb-64gb,62193,00113
Nokia 7 Plus,1263,https://www.kimovil.com/en/where-to-buy-nokia-7-plus-global,141701,00112
Samsung Galaxy A9S (2018),1266,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a9-2018-a9200,142346,00112
